                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.4659,                 3.6031,                      0,                 1.1741,                 1.6639,                0.93919,                      1,                  0.995,                0.46337,                0.93225,                    0.4,                0.39668,                  0.119,                 1.6362,                 4.9677,                      0,                 1.0985,                 1.9213,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.3176,                 3.7153,                      0,                0.99494,                   1.56,                0.83197,                0.99183,                0.92833,                 0.5235,                0.66365,                    0.8,                0.60993,                0.10146,                 1.4242,                 4.1782,                      0,                 1.3196,                 1.7179,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.3428,                 3.5542,                      0,                0.98475,                 1.6577,                0.97521,                      1,                  0.995,                0.57037,                0.58997,                    0.6,                0.49699,                 0.1341,                 1.3311,                 4.0943,                      0,                 1.0205,                 1.6439,              0.0017723,              0.0017723,              0.0017723
                     26,                  1.306,                 3.9585,                      0,                 1.0559,                 1.5488,                 0.8317,                0.99022,                0.92833,                0.56203,                0.58721,                    0.6,                0.51708,                 0.1464,                 1.3363,                 4.1221,                      0,                0.88713,                 1.6931,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.4067,                  3.856,                      0,                 1.0346,                 1.6531,                0.95897,                    0.8,                0.80194,                0.56134,                0.71782,                    0.6,                0.54743,                0.15889,                 1.4883,                  4.292,                      0,                0.98885,                 1.8017,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.3038,                 3.5106,                      0,                0.98937,                 1.5959,                0.97774,                      1,                  0.995,                  0.598,                0.63096,                    0.6,                0.54956,                0.11674,                 1.6744,                 4.0217,                      0,                 1.1744,                 1.9395,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5521,                 3.9951,                      0,                 1.1143,                 1.7135,                0.98168,                      1,                  0.995,                0.61693,                0.78151,                    0.8,                0.75882,                0.14495,                 1.5966,                 3.8359,                      0,                 1.1281,                 1.9027,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.4001,                 3.4768,                      0,                 1.0003,                 1.4899,                0.98069,                      1,                  0.995,                0.63796,                0.98069,                      1,                  0.995,                0.25072,                 1.6181,                   3.57,                      0,                 1.0537,                 1.9954,              0.0017228,              0.0017228,              0.0017228
                     31,                  1.503,                 3.6462,                      0,                0.97358,                 1.6692,                0.81753,                      1,                0.96167,                0.49304,                0.81753,                      1,                0.96167,                0.28126,                 1.6948,                 3.3796,                      0,                 1.1203,                 2.2021,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.5275,                  3.405,                      0,                 1.0326,                 1.6704,                0.63441,                    0.8,                0.80333,                0.40008,                0.43289,                    0.6,                0.40106,                0.10788,                 1.6992,                  3.658,                      0,                 1.1717,                 2.0204,               0.001703,               0.001703,               0.001703
                     33,                 1.4105,                 3.4289,                      0,                 1.0426,                 1.6908,                 0.8229,                      1,                  0.895,                  0.401,                0.65447,                    0.8,                0.53184,                0.16326,                 1.7348,                 3.2742,                      0,                 1.0783,                 2.0084,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.3075,                 3.5183,                      0,                0.95142,                 1.5946,                0.81587,                      1,                0.96167,                0.58838,                0.65204,                    0.8,                0.62944,                0.17975,                 1.4593,                 3.2405,                      0,                 1.1662,                 1.7999,              0.0016832,              0.0016832,              0.0016832
                     35,                  1.252,                 3.7181,                      0,                0.95251,                 1.4486,                0.96043,                    0.8,                0.93786,                0.45604,                 0.5581,                    0.8,                0.61024,                0.20148,                 1.7465,                 3.3174,                      0,                 1.3036,                 2.0792,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.3115,                   3.48,                      0,                0.96271,                 1.4971,                0.87339,                      1,                  0.995,                0.52762,                0.52075,                    0.6,                0.43646,                0.09709,                 1.8119,                 3.3976,                      0,                 1.3841,                  2.187,              0.0016634,              0.0016634,              0.0016634
